COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
JM,50678,3703,32515,25261,18163,17953,110555106.357788389439,130338118.79483501,0.23440559440559440559,0.24270765811649226780
JO,17537,1338,8028,6581,9509,10388,95280971.112504989451,111508596.617361070187,0.04829426974726832930,0.04496822459979084547
JP,367589,11751,121111,82098,246478,243298,166058705.98304084,210229678.78154618,0.06129145548699867783,0.04774270215551863385
KE,185332,7270,97716,79892,87616,103130,145523973.32354909,209766138.64562730,0.13431549014565970384,0.12358777109117747247
KG,14083,597,6540,5489,7543,8594,107567098.146701697082,127377900.958602570475,0.09285985567793391569,0.08289130630225658545
KH,54531,2536,18450,13573,36081,40416,180512217.59366232,235117073.41865936,0.06510124056960719118,0.06293539356322836867
KI,822,112,425,12,397,11,103395363.50364964,43568139.130434782609,0.00742115027829313544,0.00000000000000000000
KM,674,83,631,513,43,62,24805132.344213649852,35015440.695652173913,0.03921568627450980392,0.01470588235294117647
KN,4564,839,2325,1273,2239,2918,260718644.69763365,358228934.00143164,0.06447042153737159051,0.05407882676443629698
KP,355,90,147,66,208,231,61131529.014084507042,101752436.36363636,0.02822580645161290323,0.01632653061224489796
KR,95556,3765,21556,12323,74000,61400,132818779.75637323,171528391.88855581,0.03717749456014920734,0.02621138914187801979
KW,27507,393,2989,2115,24518,18998,537451858.04340713,602934295.26831810,0.04265004016371495238,0.03856092228185251441
KY,36942,1941,7779,3932,29163,21487,328743678.54474582,374486128.07742240,0.01988872545884760504,0.01802001239706012574
KZ,31774,935,18242,16060,13532,15714,62955713.224649084157,103268434.820922767042,0.11751951431049436253,0.11427178153446033810
LA,16297,806,4234,3443,12063,12854,195189570.98852550,251093064.19586427,0.02848553175497933108,0.02096481682988755894
LB,5531,259,734,403,4797,3987,199150703.45326342,208835471.89066059,0.01127049180327868852,0.00941759603469640644
LC,12807,1926,9501,6371,3306,3756,92093960.365425158117,147595156.867779204108,0.12902700943703221608,0.12592720372606520614
LI,1104,501,674,333,430,771,93391982.608695652174,200158669.56521739,0.04844290657439446367,0.04653937947494033413
LK,149905,4183,48200,43206,101705,98773,216363105.93509223,252821835.02630671,0.04770232277930249682,0.04467434547697225552
LR,3279,141,1009,680,2270,2418,125002039.15827996,144482302.38863783,0.04009342156481121059,0.04735272184936614467
LS,2836,923,1745,1626,1091,1210,89561825.669957686883,111828897.03808181,0.20261437908496732026,0.19099526066350710900
LT,55121,1210,6013,2788,49108,50511,327743953.49866657,375857461.88108595,0.00875673973788814987,0.01032537622235668417
LU,7947,997,1918,844,6029,7103,462549385.27746319,723131763.53340883,0.00474608448030374941,0.00291221744556926917
LV,25529,1150,6046,3117,19483,20715,270651507.91648713,353823545.61933535,0.02868507253158633599,0.02213684595682400293
LY,2202,42,136,58,2066,2092,204454692.09809264,219820447.25581395,0.00000000000000000000,0.00000000000000000000
MA,103667,4426,74061,60507,29606,41328,91895794.927990585239,147841610.32258065,0.18496428944190138220,0.20527748067315633420
MC,696,497,561,387,135,306,63314689.655172413793,134582524.67532468,0.00000000000000000000,0.01534526854219948849
MD,6895,189,950,339,5945,6556,178720373.60406091,236971692.18274112,0.02719698160666561861,0.01228648486664668864
