COUNTRY CODE,year,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AT,2016,3165,269,536,347,2629,2818,361144793.17535545,408498462.93838863,0.00773480662983425414,0.00729927007299270073
AT,2017,5366,329,1079,629,4287,4737,354195624.59932911,393207559.29929184,0.00974097852557006863,0.01341589267285861713
AT,2018,5971,449,1138,769,4833,5202,337102644.64913750,360893132.80857478,0.00140930138916851218,0.00132225160559123536
AT,2019,8138,640,1644,1026,6494,7112,322866034.50479233,366429895.50258049,0.01910557599773563544,0.01005227181342983514
AT,2020,8551,381,790,446,7761,8105,347553321.01508595,401793393.98900713,0.01854828737479906022,0.01382876382876382876
AT,2021,9110,478,923,412,8187,8698,313542337.47530187,364047547.57409440,0.01897758273039971534,0.00829074389551391255
AT,2022,11589,1071,2485,1503,9104,10086,275287979.70489257,329279920.47631375,0.01781091436263850057,0.01073722557760521522
AT,2023,14260,1663,4556,2886,9704,11374,160972597.36325386,211018240.22440393,0.03574710531152361698,0.02437016301663098963
AT,2024,18472,2139,6227,4124,12245,14348,147668240.97011693,193331389.34603725,0.03354540196645459803,0.02435838829752497878
AT,2025,14404,1585,4895,3473,9509,10931,146482172.50763677,186636254.59594557,0.03364589078874793161,0.02973883740522325190
AU,2010,27832,947,4339,2467,23493,23419,594907771.19862029,706596042.09225064,0.00455524267020043068,0.00380577976663460332
AU,2011,37905,1028,5392,2973,32513,32674,561473938.74159082,676361694.97573428,0.00615671081478811905,0.00570772808262615891
AU,2012,46997,1233,6610,3846,40387,40400,549978443.49213780,660074473.22695837,0.00534347470273913253,0.00593356354262924955
AU,2013,62261,1526,8891,5243,53370,52735,508234673.15976293,611587034.58553244,0.00905835637807558675,0.00719897679517632012
AU,2014,80895,1986,11465,5952,69430,69488,491924110.33562025,607788150.41357370,0.01237977466336905743,0.00646863204568734477
AU,2015,105233,2271,16049,8942,89184,89270,523246962.57637813,626138175.76670875,0.01420570813139472267,0.01213870935992913618
AU,2016,144893,2836,24183,15077,120710,119970,484120866.04045744,583660001.13145794,0.02059500088473108022,0.02225351444144707176
AU,2017,178393,3226,28933,18312,149460,149043,463174175.14812801,562474484.88303307,0.02398620141956618851,0.01588069121726516173
AU,2018,237719,4055,39400,24584,198319,198892,436572910.05935579,530082333.84524513,0.02927728335470246625,0.02459299646751651052
AU,2019,277193,5046,52011,33366,225182,226741,392297671.59776762,484397216.83768603,0.03435134792546644804,0.02801301303386138036
AU,2020,304361,5287,26608,12057,277753,275953,428137641.43500646,523956250.17464671,0.01385033823837087663,0.00722788203753351206
AU,2021,373321,5942,34444,14146,338877,337063,387200517.45709456,478140320.10341421,0.01143405303247236699,0.00663294941826011957
AU,2022,465377,7804,86260,52284,379117,382997,309993334.24384961,399249227.88175914,0.03184480765416930690,0.02343775033089893595
AU,2023,557991,10191,117624,71519,440367,449605,272582665.39782900,352129315.86340295,0.03966593230194674900,0.03030271509497943551
AU,2024,659837,11852,162427,98689,497410,513639,243507208.76337641,315815794.54148757,0.05412676698586411309,0.03976088037223408402
AU,2025,411019,9847,101871,59857,309148,324301,239025394.94086648,308140656.53403027,0.05038627777966851581,0.03535863843623967049
AW,2010,120,33,65,34,55,64,177034320.00000000,236065077.55102041,0.01785714285714285714,0.01538461538461538462
AW,2011,142,34,81,50,61,61,184136653.52112676,244363329.72972973,0.03076923076923076923,0.03174603174603174603
AW,2012,147,42,51,25,96,87,95634220.408163265306,148256228.57142857,0.00000000000000000000,0.00000000000000000000
AW,2013,288,58,74,42,214,182,243909900.00000000,269201957.14285714,0.00000000000000000000,0.00534759358288770053
AW,2014,345,64,103,54,242,217,243369766.95652174,277378113.65313653,0.00000000000000000000,0.00000000000000000000
AW,2015,844,73,172,107,672,595,307818733.64928910,314895261.53846154,0.00849858356940509915,0.00000000000000000000
AW,2016,1025,78,185,114,840,781,338784852.29268293,361613347.03910615,0.01509872241579558653,0.00381679389312977099
AW,2017,1319,93,308,123,1011,1031,386939223.04776346,401666936.56845754,0.04818258664412510566,0.04208600182982616651
AW,2018,1606,128,386,204,1220,1162,348778831.38231631,343009644.50951684,0.02518518518518518519,0.03556658395368072787
AW,2019,1790,156,478,285,1312,1164,357880336.08938547,363576566.45962733,0.02368064952638700947,0.01992031872509960159
AW,2020,1597,69,288,172,1309,1185,444502572.32310582,430817714.36993368,0.00735294117647058824,0.00416666666666666667
AW,2021,1969,120,399,233,1570,1437,378978614.93143728,368621616.28742515,0.02959309494451294698,0.02371273712737127371
AW,2022,2491,261,930,586,1561,1391,273992921.71818547,278693535.66009105,0.06755260243632336656,0.05100064557779212395
AW,2023,3478,324,1551,1021,1927,1814,242800345.94594595,231840487.61904762,0.06167023554603854390,0.05506391347099311701
AW,2024,3196,364,1429,949,1767,1545,226531392.24030038,233155284.68323978,0.07936507936507936508,0.08087431693989071038
AW,2025,2350,271,1439,912,911,935,149909147.23404255,163164832.91824580,0.05878594249201277955,0.11372251705837755876
AZ,2010,161,8,56,25,105,136,332413535.40372671,549217967.70186335,0.00000000000000000000,0.00000000000000000000
AZ,2011,120,4,3,3,117,117,478512000.00000000,604178640.00000000,0.00000000000000000000,0.00000000000000000000
AZ,2012,94,6,1,0,93,94,571868731.91489362,922282314.89361702,0.00000000000000000000,0.00000000000000000000
AZ,2013,19,4,1,0,18,19,49248000.000000000000,107404294.73684211,0.00000000000000000000,0.00000000000000000000
