COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
CX,2930,226,2338,1608,592,471,39702185.938566552901,40391023.376623376623,0.12337259764414135152,0.12827004219409282700
CY,36798,1470,15006,12587,21792,19743,252550552.87787380,257868646.28518404,0.01921189703329055635,0.02286361538784242984
CZ,358107,4632,18015,10916,340092,347191,451779138.82498806,477622469.43176202,0.00569207557262338402,0.00287715822652539486
DE,684891,20848,104786,55631,580105,599432,310872260.81814479,409863730.50531018,0.00946034907384819999,0.00566726913607859841
DJ,2793,108,878,702,1915,1730,95759071.965628356606,106958226.31578947,0.09003601440576230492,0.09709172259507829978
DK,96669,5554,22936,8322,73733,55418,347988502.52304255,488853778.17383119,0.01754385964912280702,0.01191498309123723082
DM,6496,864,4586,2860,1910,2563,114484442.36453202,190521479.62382445,0.18162188099808061420,0.17089224768405655778
DO,66153,4821,37136,30322,29017,31877,115335792.69874382,152037589.23455361,0.17345461616576280708,0.16899495537446643384
DZ,7416,230,2578,1165,4838,5971,181104838.83495146,470556012.10762332,0.06872969738416823389,0.05242182709993868792
EC,629647,17555,307502,234483,322145,356227,137393722.34156599,166532167.28072997,0.22046363378601667987,0.19257372616929397039
EE,25926,1684,13259,5750,12667,13151,147349817.91252025,252740232.07237712,0.07449273724071666761,0.08165354834581173610
EG,29512,2263,16733,14533,12779,13237,80644785.687178097045,94080490.198055455528,0.05386430678466076696,0.05882703895948929062
EH,2964,206,2102,1261,862,1274,61715455.870445344130,119546277.86982249,0.16454293628808864266,0.20783289817232375979
ER,250,29,103,46,147,172,40842316.800000000000,123109299.08256881,0.00000000000000000000,0.00000000000000000000
ES,2605542,31584,333990,193298,2271552,2218437,414778018.21502014,478543364.22202273,0.02616890062771012115,0.01943629729063460110
ET,32059,1528,22609,20452,9450,11607,60568766.237250070183,81288175.626189213637,0.11200876352184033959,0.12215338602862636189
FI,263099,4495,43851,26044,219248,191709,550438398.04180176,761446197.27489403,0.02247906731148008147,0.02958159626788346379
FJ,15069,1359,9546,4673,5523,3192,136100600.91578738,131682860.67387158,0.01970320488839007358,0.02850304612706701480
FK,18332,1575,8971,2934,9361,6143,180468886.05716779,304768665.94689876,0.12838881865430537997,0.10527010962884691586
FM,1703,195,1460,705,243,191,23031967.116852613036,32952921.428571428571,0.01264222503160556258,0.01028277634961439589
FO,9458,563,2677,1699,6781,4732,259528864.45337281,258077807.61934380,0.01490889011595803424,0.01524450603840823599
FR,638362,22075,143354,74580,495008,523165,274887115.90727518,373088359.21672285,0.01671932095006090134,0.01371691642091834376
GA,5219,181,2512,1942,2707,2293,62429620.387047327074,90919709.468713105077,0.08842975206611570248,0.10151466322913309700
GB,2777341,47278,292741,162303,2484600,2353601,580750797.40283962,673148508.60318995,0.00685706076284555657,0.00513706730433115350
GD,15102,902,4051,2397,11051,9572,185262436.23361144,194103992.11295848,0.07098641369885038990,0.07090187180941576858
GE,35995,1325,16937,13998,19058,18686,109946168.701208501181,133237198.38453066,0.07061712107886250366,0.08612496104705515737
GF,15183,286,3966,2992,11217,10511,290686321.28037937,312028196.40079982,0.07079578432870016802,0.07516778523489932886
GG,2983,262,966,205,2017,1058,159632211.33087496,275633512.58907363,0.04936095196121639489,0.00894454382826475850
GH,40386,1213,30507,27390,9879,12694,33038651.017679393849,59146828.859395269933,0.21727560414269275029,0.22774735553212475766
GI,3575,834,1124,553,2451,1719,291811976.05594406,351059590.14084507,0.01792245793708851500,0.01129032258064516129
